Company,Location,Country,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,10/4/1957,19:28:00,Sputnik 8K71PS,Sputnik-1,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,11/3/1957,2:30:00,Sputnik 8K71PS,Sputnik-2,Retired,0,Success
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA", USA,12/6/1957,16:44:00,Vanguard,Vanguard TV3,Retired,0,Failure
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA", USA,2/1/1958,3:48:00,Juno I,Explorer 1,Retired,0,Success
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA", USA,2/5/1958,7:33:00,Vanguard,Vanguard TV3BU,Retired,0,Failure
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA", USA,3/5/1958,18:27:00,Juno I,Explorer 2,Retired,0,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA", USA,3/17/1958,12:15:00,Vanguard,Vanguard 1,Retired,0,Success
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA", USA,3/26/1958,17:38:00,Juno I,Explorer 3,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,4/27/1958,9:01:00,Sputnik 8A91,Sputnik-3 #1,Retired,0,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA", USA,4/28/1958,2:53:00,Vanguard,Vanguard TV5,Retired,0,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,5/15/1958,7:12:00,Sputnik 8A91,Sputnik-3 #2,Retired,0,Success
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA", USA,5/28/1958,3:46:00,Vanguard,Vanguard SLV-1,Retired,0,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA", USA,6/26/1958,5:00:00,Vanguard,Vanguard SLV-2,Retired,0,Failure
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA", USA,7/25/1958,,NOTS-EV-1 Pilot II,Pilot-1 (D1),Retired,0,Failure
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA", USA,7/26/1958,15:00:00,Juno I,Explorer 4,Retired,0,Success
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA", USA,8/12/1958,,NOTS-EV-1 Pilot II,Pilot-2 (D2),Retired,0,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,8/17/1958,12:18:00,Thor-DM 18 Able I,Pioneer 0,Retired,0,Failure
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA", USA,8/22/1958,,NOTS-EV-1 Pilot II,Pilot-3 (D3),Retired,0,Failure
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA", USA,8/24/1958,6:17:00,Juno I,Explorer 5,Retired,0,Failure
